username,lifetime_games,lifetime_wins,lifetime_draws,lifetime_losses,elo_gain,elo_loss,elo_ratio,tourn_games,tourn_wins,tourn_draws,tourn_losses,tourn_elo_gain,tourn_elo_loss,tourn_elo_ratio,non_tourn_games,non_tourn_wins,non_tourn_draws,non_tourn_losses,non_tourn_elo_gain,non_tourn_elo_loss,non_tourn_elo_ratio,elo_ratio_gap,short_win_rate,timeout_win_ratio,tourn_win_rate,non_tourn_win_rate,wr_gap,suspicion_score,reasons
benk102,1,0,0,1,0.000000,0.726830,0.000000,0,0,0,0,0.000000,0.000000,0.000000,1,0,0,1,0.000000,0.726830,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,
bravenam,11,7,1,3,0.861622,1.911775,0.450692,3,2,1,0,0.264372,0.199769,1.323387,8,5,0,3,0.597250,1.712006,0.348860,0.974528,0.000000,0.714286,1.000000,0.625000,0.375000,0.00,
bready_panda,13,7,1,5,3.339454,1.949958,1.712578,4,4,0,0,2.670448,0.000000,2670447598.986777,9,3,1,5,0.669007,1.949958,0.343088,2670447598.643689,0.000000,0.571429,1.000000,0.375000,0.625000,0.00,
brother-of-magnus,1,1,0,0,0.560150,0.000000,560150145.231903,1,1,0,0,0.560150,0.000000,560150145.231903,0,0,0,0,0.000000,0.000000,0.000000,560150145.231903,1.000000,1.000000,1.000000,0.000000,1.000000,0.00,
checker_tk,17,7,0,10,1.159599,2.766776,0.419116,14,6,0,8,0.902135,2.150324,0.419534,3,1,0,2,0.257464,0.616452,0.417655,0.001879,0.428571,0.142857,0.428571,0.333333,0.095238,0.00,
chessamateur9988,2,0,0,2,0.000000,1.050296,0.000000,2,0,0,2,0.000000,1.050296,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,
cristiancirivello,11,5,1,5,3.472658,1.339653,2.592207,0,0,0,0,0.000000,0.000000,0.000000,11,5,1,5,3.472658,1.339653,2.592207,-2.592207,0.000000,0.400000,0.000000,0.500000,-0.500000,0.00,
crossmappers,5,5,0,0,1.173008,0.000000,1173007638.171085,2,2,0,0,0.820956,0.000000,820956186.021643,3,3,0,0,0.352051,0.000000,352051452.149442,468904733.872201,0.400000,0.600000,1.000000,1.000000,0.000000,0.00,
cursedmangekyo,0,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,
damsarad,0,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,
dankfulbutbetter,0,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,
david10jp,7,5,0,2,0.989704,0.826524,1.197430,0,0,0,0,0.000000,0.000000,0.000000,7,5,0,2,0.989704,0.826524,1.197430,-1.197430,0.200000,0.400000,0.000000,0.714286,-0.714286,0.00,
debelka,0,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,
devraj_plays,5,3,0,2,1.074027,1.790588,0.599818,2,0,0,2,0.000000,1.790588,0.000000,3,3,0,0,1.074027,0.000000,1074027238.710575,-1074027238.710575,0.333333,0.000000,0.000000,1.000000,-1.000000,0.00,
dmgetz40,33,14,0,19,6.092394,8.049848,0.756833,12,4,0,8,1.585157,3.005686,0.527386,21,10,0,11,4.507236,5.044162,0.893555,-0.366169,0.214286,0.214286,0.333333,0.476190,-0.142857,0.00,
dragonerl-123,0,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,
edenopia,0,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,
ek70r,1,1,0,0,0.389598,0.000000,389597577.905311,0,0,0,0,0.000000,0.000000,0.000000,1,1,0,0,0.389598,0.000000,389597577.905311,-389597577.905311,1.000000,0.000000,0.000000,1.000000,-1.000000,0.00,
ekd4,1,0,1,0,0.000000,0.218757,0.000000,0,0,0,0,0.000000,0.000000,0.000000,1,0,1,0,0.000000,0.218757,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,
elandt14,78,32,2,44,11.610406,14.026155,0.827768,5,0,0,5,0.000000,1.955537,0.000000,73,32,2,39,11.610406,12.070618,0.961873,-0.961873,0.187500,0.468750,0.000000,0.450704,-0.450704,0.00,
emaxt,0,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,
fanny-hyperion,2,0,0,2,0.000000,0.174930,0.000000,0,0,0,0,0.000000,0.000000,0.000000,2,0,0,2,0.000000,0.174930,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,
ffilandr,0,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,
firstover10,12,3,1,8,0.980696,4.088122,0.239889,8,2,0,6,0.726519,2.990302,0.242958,4,1,1,2,0.254177,1.097821,0.231529,0.011430,0.000000,0.333333,0.250000,0.333333,-0.083333,0.00,
gazzi_gazzi_prime,64,0,0,64,0.000000,19.391489,0.000000,43,0,0,43,0.000000,12.443895,0.000000,21,0,0,21,0.000000,6.947594,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,
gibon112,0,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,
giuseppe-pepe,64,35,6,23,14.012299,12.277761,1.141275,52,29,6,17,11.869972,8.343500,1.422661,12,6,0,6,2.142327,3.934260,0.544531,0.878130,0.114286,0.485714,0.630435,0.500000,0.130435,0.00,
gm_afeef,21,1,0,20,0.646669,7.159463,0.090324,19,1,0,18,0.646669,6.700579,0.096509,2,0,0,2,0.000000,0.458884,0.000000,0.096509,0.000000,0.000000,0.052632,0.000000,0.052632,0.00,
guruizda,68,31,1,36,14.356654,10.340456,1.388397,68,31,1,36,14.356654,10.340456,1.388397,0,0,0,0,0.000000,0.000000,0.000000,1.388397,0.161290,0.483871,0.462687,0.000000,0.462687,0.00,
hazenblazen,2,1,1,0,1.136958,0.000000,1136958269.194029,0,0,0,0,0.000000,0.000000,0.000000,2,1,1,0,1.136958,0.000000,1136958269.194029,-1136958269.194029,0.000000,1.000000,0.000000,1.000000,-1.000000,0.00,
hetman-za-free,0,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,
hoangduckminh,7,4,0,3,1.873158,0.564331,3.319256,0,0,0,0,0.000000,0.000000,0.000000,7,4,0,3,1.873158,0.564331,3.319256,-3.319256,0.250000,0.500000,0.000000,0.571429,-0.571429,0.00,
huragantesco,13,4,0,9,2.432707,4.099674,0.593390,0,0,0,0,0.000000,0.000000,0.000000,13,4,0,9,2.432707,4.099674,0.593390,-0.593390,0.000000,0.250000,0.000000,0.307692,-0.307692,0.00,
johnbassily83,1,1,0,0,0.153207,0.000000,153206596.927319,0,0,0,0,0.000000,0.000000,0.000000,1,1,0,0,0.153207,0.000000,153206596.927319,-153206596.927319,0.000000,1.000000,0.000000,1.000000,-1.000000,0.00,
joinallclab,0,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,
junuas,0,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,
kartik_pal,0,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,
ksc007,4,4,0,0,0.976936,0.000000,976935671.922311,0,0,0,0,0.000000,0.000000,0.000000,4,4,0,0,0.976936,0.000000,976935671.922311,-976935671.922311,0.000000,0.500000,0.000000,1.000000,-1.000000,0.00,
